id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
744958822599311484,Rental unit in Vancouver · Studio · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28631,-123.13794,entire home/apt,210.0,31,1,2023-04-30,0.13,38,34,1,,4.799709437963944
744961251977035854,Guest suite in Vancouver · ★4.97 · 1 bedroom · 1 bed · 1 bath,122946742,Donna,,Kitsilano,49.26135,-123.14959,entire home/apt,182.0,2,30,2023-11-27,3.03,1,361,30,23-178099,4.97
744968058929774671,Rental unit in Vancouver · Studio · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28628,-123.13793,entire home/apt,210.0,31,0,,,38,0,0,,4.799709437963944
744976201908379359,Rental unit in Vancouver · 2 bedrooms · 2 beds · 1 bath,38459934,Corporate Stays,,West End,49.28612,-123.13754,entire home/apt,320.0,31,0,,,38,88,0,,4.799709437963944
744985193711529045,Rental unit in Vancouver · 2 bedrooms · 2 beds · 1 bath,38459934,Corporate Stays,,West End,49.28656,-123.13965,entire home/apt,272.0,31,0,,,38,0,0,,4.799709437963944
744989565405219756,Condo in Vancouver · ★4.94 · 1 bedroom · 1 bed · 1 bath,12927034,Safana,,Downtown,49.2745482,-123.127821,entire home/apt,158.0,3,15,2023-12-13,1.55,1,0,15,23-178610,4.94
744990487628780430,Rental unit in Vancouver · 2 bedrooms · 2 beds · 1 bath,38459934,Corporate Stays,,West End,49.28493,-123.13923,entire home/apt,320.0,31,0,,,38,88,0,,4.799709437963944
744995930775371522,Rental unit in Vancouver · 2 bedrooms · 2 beds · 1 bath,38459934,Corporate Stays,,West End,49.28593,-123.13764,entire home/apt,320.0,31,0,,,38,88,0,,4.799709437963944
745001184067765277,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28668,-123.13911,entire home/apt,213.0,31,0,,,38,88,0,,4.799709437963944
745025767777116821,Townhouse in Vancouver · 2 bedrooms · 2 beds · 1.5 baths,424571478,Darcy,,Downtown,49.27742333666943,-123.11767685300975,entire home/apt,623.0,1,0,,,1,269,0,23-249738,4.799709437963944
745026769743964837,Home in Vancouver · 3 bedrooms · 4 beds · 2 baths,72420286,Angelika,,Grandview-Woodland,49.27169,-123.06419,entire home/apt,218.0,31,2,2023-06-03,0.17,1,225,2,,4.799709437963944
745193740061440286,Rental unit in Vancouver · 1 bedroom · 3 beds · 1 shared bath,301114186,Gabe,,West Point Grey,49.26279,-123.2041,Shared room,50.0,31,0,,,1,333,0,,4.799709437963944
745467549855623983,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28626,-123.13759,entire home/apt,213.0,31,0,,,38,72,0,,4.799709437963944
745478900261325395,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28636,-123.13941,entire home/apt,213.0,31,0,,,38,88,0,,4.799709437963944
745488110380226293,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28598,-123.13963,entire home/apt,213.0,31,0,,,38,88,0,,4.799709437963944
745497577559791002,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28634,-123.13945,entire home/apt,213.0,31,0,,,38,56,0,,4.799709437963944
